,status,age,education,profession,device,account_balance,loan,mortgage,credit,positive,n_contact,l_call_duration,subscribed,p_campain,month
0,married,32,doctoral,student,cellular,0.07572807698903472,False,True,False,True,0.016129032258064516,0.18181818181818182,False,True,2
1,married,45,master,scientist,cellular,0.08620915757936469,False,True,False,True,0.0,0.3506493506493507,False,False,7
2,married,54,master,technician,telephone,0.10127003661821228,False,True,False,True,0.0,0.4675324675324675,False,False,11
3,married,30,master,engineer,unknown,0.07804823919863615,True,True,False,True,0.0,0.15584415584415584,False,False,6
4,married,40,doctoral,manager,unknown,0.06340095429280448,True,True,True,False,0.016129032258064516,0.28571428571428575,False,False,6
5,married,39,master,engineer,unknown,0.07859297293480345,True,True,False,True,0.016129032258064516,0.27272727272727276,False,False,5
6,married,50,master,technician,cellular,0.07775569700699075,False,False,False,True,0.08064516129032258,0.41558441558441556,False,False,7
7,married,31,master,engineer,unknown,0.08672362833018936,False,True,False,True,0.04838709677419355,0.16883116883116883,False,False,5
8,married,45,master,teacher,unknown,0.10582965974316814,True,True,False,True,0.0967741935483871,0.3506493506493507,False,False,6
9,married,58,bachelor,engineer,unknown,0.07367019398573606,False,False,False,True,0.03225806451612903,0.5194805194805194,False,False,6
10,single,31,bachelor,engineer,unknown,0.08175041107221759,False,True,False,True,0.016129032258064516,0.16883116883116883,False,False,5
11,single,44,master,teacher,unknown,0.08531135568086674,False,True,False,True,0.016129032258064516,0.3376623376623377,False,False,5
12,married,46,master,scientist,cellular,0.0763232490341064,False,False,False,True,0.12903225806451613,0.3636363636363637,False,True,2
13,divorced,31,doctoral,manager,cellular,0.07657544057862829,False,False,False,True,0.016129032258064516,0.16883116883116883,False,False,8
14,single,35,master,scientist,unknown,0.08830739122978686,False,True,False,True,0.03225806451612903,0.2207792207792208,False,False,6
15,married,41,doctoral,scientist,cellular,0.08657231340347622,False,False,False,True,0.03225806451612903,0.29870129870129875,True,False,8
16,divorced,58,master,architect,cellular,0.07280265507258074,False,False,False,True,0.016129032258064516,0.5194805194805194,True,False,7
17,married,39,bachelor,engineer,cellular,0.07410396344231372,False,True,False,True,0.016129032258064516,0.27272727272727276,False,True,4
18,single,31,master,scientist,cellular,0.08029778777577147,False,True,False,True,0.016129032258064516,0.16883116883116883,False,False,8
19,married,46,bachelor,teacher,unknown,0.11223532497402428,False,True,False,True,0.0,0.3636363636363637,True,False,9
20,married,41,doctoral,manager,telephone,0.07873420019973572,False,True,False,True,0.016129032258064516,0.29870129870129875,False,False,11
21,married,46,doctoral,manager,cellular,0.14076323249034106,False,False,False,True,0.0,0.3636363636363637,False,True,9
22,married,60,master,accountant,telephone,0.10521431237453471,False,False,False,True,0.016129032258064516,0.5454545454545454,False,False,7
23,married,47,doctoral,retired,cellular,0.06829347025652925,False,True,False,False,0.016129032258064516,0.3766233766233767,False,False,5
24,married,36,bachelor,engineer,unknown,0.06983688250900325,True,True,False,False,0.0,0.2337662337662338,False,False,5
